lat,lon,frp
-2.9945,-50.4816,47.8
-2.9946,-50.4606,46.3
-3.013,-50.481,77.4
-3.013,-50.4601,83.8
-3.234,-50.5999,57.1
-3.2524,-50.5993,59.8
-3.3245,-46.8681,333.9
-3.3246,-46.8461,276.9
-3.3431,-46.8674,61.3
-3.3432,-46.8454,54.3
-4.2429,-48.5474,51.7
-4.2614,-48.5465,51
-4.507,-47.8215,48.1
-4.8225,-47.8488,74.3
-4.8227,-47.827,156.6
-4.9138,-50.9519,75.3
-4.9323,-50.9511,105.8
-6.5266,-62.9483,49.9
-6.803,-59.2079,43.8
-6.8031,-59.1886,41.6
-6.8214,-59.2072,77.2
-6.8215,-59.1879,71.6
-7.6324,-67.2567,70.5
-7.6325,-67.2383,68.5
-7.6696,-67.1451,68.2
-7.6696,-67.1266,73.9
-7.688,-67.1262,68.8
-7.7807,-66.9577,68.3
-8.6491,-49.6672,37.6
-8.6494,-49.6458,39.4
-8.5924,-66.975,74
-8.7971,-66.6356,90.5
-8.9915,-54.4852,94.5
-9.2435,-50.2114,106.9
-9.2447,-65.8779,66.6
-9.5058,-65.5892,69.7
-10.7175,-57.9591,64.4
-12.0756,-54.6131,186.2
-12.0758,-54.5926,85.6
-12.0943,-54.6318,71.6
-12.0945,-54.6113,367.6
-12.0948,-54.5908,147.4
-12.1184,-54.2398,104.9
-12.1371,-54.2585,79.4
-12.1374,-54.2379,151.8
-13.2643,-56.7947,123.2
-13.2646,-56.7746,225.9
-13.2648,-56.7544,89.5
-13.2834,-56.7929,83.3
-13.2836,-56.7728,147.1
-3.013,-50.481,99.8
-3.013,-50.4601,91.6
-3.2524,-50.5993,73.6
-3.3245,-46.8681,297.2
-3.3246,-46.8461,191.8
-3.3431,-46.8674,135.2
-3.3432,-46.8454,82
-3.6239,-50.1252,48.1
-4.2429,-48.5474,65
-4.5255,-47.8206,46.3
-4.8225,-47.8488,50.9
-4.8227,-47.827,131.5
-4.9138,-50.9519,123.5
-4.9323,-50.9511,79.1
-6.803,-59.2079,41.6
-6.8214,-59.2072,65.7
-6.8215,-59.1879,64.9
-7.6324,-67.2567,67.1
-7.6325,-67.2383,67.9
-7.688,-67.1447,68.8
-7.688,-67.1262,91
-8.6491,-49.6672,40.1
-8.6494,-49.6458,38.8
-8.6679,-49.6656,36.7
-8.7971,-66.6356,73
-9.2247,-50.2131,69.6
-9.2435,-50.2114,77.7
-9.1613,-68.2568,75.1
-9.5058,-65.5892,69.3
-9.7198,-54.6134,68.8
-10.0881,-50.4075,67
-10.0884,-50.3862,84.6
-11.806,-64.9546,48.3
-12.0756,-54.6131,211.8
-12.0758,-54.5926,109.7
-12.0945,-54.6113,285.8
-12.0948,-54.5908,148.2
-12.1184,-54.2398,126.8
-12.1374,-54.2379,117.2
-12.4132,-64.2615,46.8
-13.2643,-56.7947,109.6
-13.2646,-56.7746,173.8
-13.2834,-56.7929,107.7
-13.2836,-56.7728,182.4
-13.3273,-61.3597,46.7
-13.3275,-61.3402,197.6
-13.3277,-61.3207,53.1
-13.3463,-61.3584,66.1
-13.3465,-61.3389,319.5
-13.3467,-61.3194,89.8
-3.013,-50.481,33.1
-3.013,-50.4601,40.2
-3.2524,-50.5993,66
-3.3059,-46.8689,59.7
-3.3245,-46.8681,267.4
